"","Year","county","Dem","Rep","Total_Votes","Dem_Percent_Vote","Rep_Percent_Vote"
"299",2016,"HUNTINGDON","4539","14494","19706",23.0335938292906,73.551202679387
"300",2016,"INDIANA","11528","24888","37770",30.5215779719354,65.8935663224782
"301",2016,"JEFFERSON","3650","15192","19478",18.7390902556731,77.9956874422425
"302",2016,"JUNIATA","1821","8273","10454",17.4191696958102,79.1371723742108
"303",2016,"LACKAWANNA","51983","48384","103456",50.2464815960408,46.7677080111352
"304",2016,"LANCASTER","91093","137914","241112",37.7803676299811,57.1991439662895
"305",2016,"LAWRENCE","14009","25428","40753",34.3753834073565,62.3954064731431
"306",2016,"LEBANON","18953","40525","61845",30.6459697631175,65.5267200258711
"307",2016,"LEHIGH","81324","73690","160993",50.513997502997,45.7721764300311
"308",2016,"LUZERNE","52451","78688","134983",38.8574857574658,58.2947482275546
"309",2016,"LYCOMING","13020","35627","50565",25.7490358943934,70.4578265598734
"310",2016,"McKEAN","4025","11635","16296",24.6993127147766,71.3978890525282
"311",2016,"MERCER","18733","31544","52309",35.8121929304709,60.3031983023954
"312",2016,"MIFFLIN","3877","14094","18601",20.842965431966,75.7701198860276
"313",2016,"MONROE","33918","33386","69752",48.6265626792063,47.863860534465
"314",2016,"MONTGOMERY","256082","162731","434687",58.9118147080543,37.4363622560601
"315",2016,"MONTOUR","2857","5288","8556",33.3917718560075,61.8045815801777
"316",2016,"NORTHAMPTON","66272","71736","143519",46.1764644402483,49.9836258613842
"317",2016,"NORTHUMBERLAND","9788","25427","36622",26.7271039266015,69.4309431489269
"318",2016,"PERRY","4632","15616","21158",21.8924283958786,73.8065979771245
"319",2016,"PHILADELPHIA","584025","108748","707631",82.5324215586937,15.3678965449507
"320",2016,"PIKE","9256","16056","26101",35.4622428259454,61.5148844871844
"321",2016,"POTTER","1302","6251","7784",16.726618705036,80.3057553956834
"322",2016,"SCHUYLKILL","16770","44001","62869",26.6745136712847,69.9883885539773
"323",2016,"SNYDER","4002","11725","16363",24.4576177962476,71.6555643830593
"324",2016,"SOMERSET","7376","27379","35773",20.6189025242501,76.5353758421156
"325",2016,"SULLIVAN","750","2291","3136",23.9158163265306,73.0548469387755
"326",2016,"SUSQUEHANNA","5123","12891","18863",27.1589884959975,68.3401367756985
"327",2016,"TIOGA","3901","13614","18325",21.2878581173261,74.2919508867667
"328",2016,"UNION","6180","10622","17468",35.3789787039157,60.8083352415846
"329",2016,"VENANGO","6309","16021","23348",27.021586431386,68.6182970704129
"330",2016,"WARREN","5145","12477","18434",27.910382987957,67.6847130302701
"331",2016,"WASHINGTON","36322","61386","101450",35.8028585510104,60.5086249383933
"332",2016,"WAYNE","7008","16244","24018",29.1781164126905,67.6326088766758
"333",2016,"WESTMORELAND","59669","116522","182051",32.7759803571527,64.0051414164163
"334",2016,"WYOMING","3811","8837","13144",28.9942178940962,67.2321972002435
"335",2016,"YORK","68524","128528","205986",33.2663384890235,62.3964735467459
